  PID TTY           TIME CMD
    1 ??        12:29.55 /sbin/launchd
  140 ??         2:09.41 /Users/stuartgano/Applications/Chrome Apps.localized/Google Chat.app/Contents/MacOS/app_mode_loader
  142 ??         0:00.12 /Applications/Google Chrome.app/Contents/Frameworks/Google Chrome Framework.framework/Versions/141.0.7390.77/Helpers/chrome_crashpad_handler --monitor-self-annotation=ptype=crashpad-handler --reset-own-crash-exception-port-to-system-default --database=/Users/stuartgano/Library/Application Support/Google/Chrome/Crashpad --metrics-dir=/Users/stuartgano/Library/Application Support/Google/Chrome --url=https://clients2.google.com/cr/report --annotation=channel= --annotation=plat=OS X --annotation=prod=Chrome_Mac --annotation=ver=141.0.7390.77 --handshake-fd=4
  161 ??         0:29.48 /Applications/Google Chrome.app/Contents/Frameworks/Google Chrome Framework.framework/Versions/141.0.7390.77/Helpers/Google Chrome Helper (Renderer).app/Contents/MacOS/Google Chrome Helper (Renderer) --type=renderer --string-annotations=enrollment-domain=google.com --enable-dinosaur-easter-egg-alt-images --webauthn-remote-desktop-support --origin-trial-disabled-features=CanvasTextNg|WebAssemblyCustomDescriptors --lang=en-US --num-raster-threads=4 --enable-zero-copy --enable-gpu-memory-buffer-compositor-resources --enable-main-frame-before-activation --renderer-client-id=4540 --time-ticks-at-unix-epoch=-1760636423454584 --launch-time-ticks=22780351687 --shared-files --metrics-shmem-handle=1752395122,r,5608142226505353112,11187491716606813528,2097152 --field-trial-handle=1718379636,r,8418129656130266691,2206805300890567566,262144 --variations-seed-version --seatbelt-client=313
  162 ??        15:44.11 /Applications/Google Chrome.app/Contents/Frameworks/Google Chrome Framework.framework/Versions/141.0.7390.77/Helpers/Google Chrome Helper (Renderer).app/Contents/MacOS/Google Chrome Helper (Renderer) --type=renderer --string-annotations=enrollment-domain=google.com --enable-dinosaur-easter-egg-alt-images --webauthn-remote-desktop-support --origin-trial-disabled-features=CanvasTextNg|WebAssemblyCustomDescriptors --lang=en-US --num-raster-threads=4 --enable-zero-copy --enable-gpu-memory-buffer-compositor-resources --enable-main-frame-before-activation --renderer-client-id=4541 --time-ticks-at-unix-epoch=-1760636423454584 --launch-time-ticks=22781504035 --shared-files --metrics-shmem-handle=1752395122,r,10025427718911658065,6461188483721151963,2097152 --field-trial-handle=1718379636,r,8418129656130266691,2206805300890567566,262144 --variations-seed-version --seatbelt-client=313
  174 ??         0:13.61 /Applications/Google Chrome.app/Contents/Frameworks/Google Chrome Framework.framework/Versions/141.0.7390.77/Helpers/Google Chrome Helper (Renderer).app/Contents/MacOS/Google Chrome Helper (Renderer) --type=renderer --string-annotations=enrollment-domain=google.com --enable-dinosaur-easter-egg-alt-images --webauthn-remote-desktop-support --origin-trial-disabled-features=CanvasTextNg|WebAssemblyCustomDescriptors --lang=en-US --num-raster-threads=4 --enable-zero-copy --enable-gpu-memory-buffer-compositor-resources --enable-main-frame-before-activation --renderer-client-id=4542 --time-ticks-at-unix-epoch=-1760636423454584 --launch-time-ticks=22782091231 --shared-files --metrics-shmem-handle=1752395122,r,5367852477832405452,1626534067205491959,2097152 --field-trial-handle=1718379636,r,8418129656130266691,2206805300890567566,262144 --variations-seed-version --seatbelt-client=313
  317 ??         1:06.81 /Applications/Google Chrome.app/Contents/Frameworks/Google Chrome Framework.framework/Versions/141.0.7390.77/Helpers/Google Chrome Helper (Renderer).app/Contents/MacOS/Google Chrome Helper (Renderer) --type=renderer --string-annotations=enrollment-domain=google.com --enable-dinosaur-easter-egg-alt-images --webauthn-remote-desktop-support --origin-trial-disabled-features=CanvasTextNg|WebAssemblyCustomDescriptors --lang=en-US --num-raster-threads=4 --enable-zero-copy --enable-gpu-memory-buffer-compositor-resources --enable-main-frame-before-activation --renderer-client-id=4515 --time-ticks-at-unix-epoch=-1760636423454584 --launch-time-ticks=22790326228 --shared-files --metrics-shmem-handle=1752395122,r,11399435342579227906,852428549527211995,2097152 --field-trial-handle=1718379636,r,8418129656130266691,2206805300890567566,262144 --variations-seed-version --seatbelt-client=315
  354 ??         6:01.08 /usr/libexec/logd
  356 ??         0:22.06 /usr/libexec/UserEventAgent (System)
  358 ??         6:58.39 /System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/FSEvents.framework/Versions/A/Support/fseventsd
